Sort_Order,Full_Species,Species_ID,Species_ID_Prev,Parent_ID,English_Name,French_Name,Spanish_Name,Scientific_Name,MBCA_2013,CDN_Status,AviBase_Status,Prev_CND_Status,WildSpecies2010,Origin,Family_Sci,Family_Sci_FR,Family_CmName_EN,Family_CmName_FR,Subfamily,Order,Previous_Sci_Name,Previous_EN_Name,Previous_FR_Name,Technical_Committees,Inland_and_Marsh_Waterbirds_SubTC,Seabirds_SubTC,Alpha_Code_BBL,Alpha_Code_FR,BBL_Number,BBS_Number,,,,
1,Yes,HITI,,,Highland Tinamou,Tinamou de Bonaparte,Tinamú Serrano,Nothocercus bonapartei,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,,,,,
2,Yes,GRTI,,,Great Tinamou,Grand Tinamou,Tinamú Mayor,Tinamus major,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,10010,,,,
3,Yes,LITI,,,Little Tinamou,Tinamou soui,Tinamú Menor,Crypturellus soui,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,10030,,,,
4,Yes,THTI,,,Thicket Tinamou,Tinamou cannelle,Tinamú Canelo,Crypturellus cinnamomeus,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,40080,,,,
5,Yes,SBTI,,,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamú Jamuey,Crypturellus boucardi,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,10050,,,,
6,Yes,CHTI,COTI,,Choco Tinamou,Tinamou de Kerr,Tinamú del Chocó,Crypturellus kerriae,No,DNO,,,,,Tinamidae,Tinamidés,Tinamous,Tinamous,,Tinamiformes,,,,,No,No,,,,,,,,
7,Yes,WFWD,,,White-faced Whistling-Duck,Dendrocygne veuf,Suirirí Cariblanco,Dendrocygna viduata,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,,No,No,,,,,,,,
8,Yes,BBWD,,,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Pijije Ala Blanca,Dendrocygna autumnalis,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,Black-bellied Whistling Duck,,WF,No,No,BBWD,,1770,01770,,,,
9,Yes,WIWD,,,West Indian Whistling-Duck,Dendrocygne des Antilles,Suirirí Yaguaza,Dendrocygna arborea,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,,No,No,WIWD,,1771,10200,,,,
10,Yes,FUWD,,,Fulvous Whistling-Duck,Dendrocygne fauve,Pijije Canelo,Dendrocygna bicolor,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,WF,No,No,FUWD,,1780,01780,,,,
11,Yes,TABG,,,Taiga Bean-Goose,Oie des moissons,Ansar Campestre,Anser fabalis,No,ACC,Accidental,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,Bean Goose,,WF,No,No,TABG,,1711,,,,,
11.1,No,BEGO,,,Bean-Goose,Oie des moissons,,Anser sp.,No,ACC,,,,,Anatidea,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,01711,,,,
12,Yes,TUBG,,,Tundra Bean-Goose,Oie de la toundra,,Anser serrirostris,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Anser fabalis,Bean Goose,Oie des moissons,WF,No,No,,,,,,,,
13,Yes,PFGO,,,Pink-footed Goose,Oie à bec court,Ansar Piquicorto,Anser brachyrhynchus,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,PFGO,,1712,01712,,,,
14,Yes,GWFG,,,Greater White-fronted Goose,Oie rieuse,Ganso Careto-Mayor,Anser albifrons,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,GWFG,,1710,01710,,,,
14.1,No,GWFG_MCO,,GWFG,Greater White-fronted Goose - Mid-continent population,Oie rieuse - population du centre du continent,,Anser albifrons,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,GWFG,,1710,,,,,
14.2,No,GWFG_PAC,,GWFG,Greater White-fronted Goose - Pacific Flyway,Oie rieuse du Pacifique,,Anser albifrons,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,GWFG,,1710,,,,,
14.3,No,GWFG_TUL,,GWFG,Greater White-fronted Goose - Tule population,Oie rieuse de Tulé,,Anser albifrons,,RNB,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,TWFG,,1719,,,,,
15,Yes,LWFG,,,Lesser White-fronted Goose,Oie naine,Ansar Chico,Anser erythropus,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,,No,No,LWFG,,1713,01713,,,,
16,Yes,GRGO,,,Graylag Goose,Oie cendrée,Ansar Común,Anser anser,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,20600,,,,
17,Yes,EMGO,,,Emperor Goose,Oie empereur,Ansar Emperador,Chen canagica,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,EMGO,,1760,01760,,,,
18,Yes,SNGO,,,Snow Goose,Oie des neiges,Ganso Blanco,Chen caerulescens,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,OINE,,01690,,,,
