"Alpha";"English";"French";"group_atlas";"group_atlas_fr"
"ANMU";"Ancient Murrelet";"Guillemot à cou blanc";"Alcids";"Alcidés"
"ARTE";"Arctic Tern";"Sterne arctique";"Terns";"Sternes"
"ATPU";"Atlantic Puffin";"Macareux moine";"Alcids";"Alcidés"
"AUSH";"Audubon's Shearwater";"Puffin d'Audubon";"Shearwaters";"Puffins"
"BASH";"Barolo Shearwater";"Puffin de Macaronésie";"Shearwaters";"Puffins"
"BCPE";"Black-capped Petrel";"Pétrel diablotin";"Shearwaters";"Puffins"
"BEPE";"Bermuda Petrel";"Pétrel des Bermudes";"Shearwaters";"Puffins"
"BHGU";"Black-headed Gull";"Mouette rieuse";"Gulls";"Goélands et Mouettes"
"BLGU";"Black Guillemot";"Guillemot à miroir";"Alcids";"Alcidés"
"BLKI";"Black-legged Kittiwake";"Mouette tridactyle";"Gulls";"Goélands et Mouettes"
"BLSK";"Black Skimmer";"Bec-en-ciseaux noir";"Terns";"Sternes"
"BLTE";"Black Tern";"Guifette noire";"Terns";"Sternes"
"BOGU";"Bonaparte's Gull";"Mouette de Bonaparte";"Gulls";"Goélands et Mouettes"
"BSTP";"Band-rumped Storm-Petrel";"Océanite de Castro";"Storm-Petrels";"Océanites"
"BTGU";"Black-tailed Gull";"Goéland à queue noire";"Gulls";"Goélands et Mouettes"
"BULS";"Buller's Shearwater";"Puffin de Buller";"Shearwaters";"Puffins"
"CAAU";"Cassin's Auklet";"Starique de Cassin";"Alcids";"Alcidés"
"CAGU";"California Gull";"Goéland de Californie";"Gulls";"Goélands et Mouettes"
"CATE";"Caspian Tern";"Sterne caspienne";"Terns";"Sternes"
"COMU";"Common Murre";"Guillemot marmette";"Alcids";"Alcidés"
"COPE";"Cook's Petrel";"Pétrel de Cook";"Shearwaters";"Puffins"
"COSH";"Cory's Shearwater";"Puffin cendré";"Shearwaters";"Puffins"
"COTE";"Common Tern";"Sterne pierregarin";"Terns";"Sternes"
"CRAU";"Crested Auklet";"Starique cristatelle";"Alcids";"Alcidés"
"DOVE";"Dovekie";"Mergule nain";"Alcids";"Alcidés"
"ELTE";"Elegant Tern";"Sterne élégante";"Terns";"Sternes"
"FEPE";"Fea's Petrel";"Pétrel gongon";"Shearwaters";"Puffins"
"FFSH";"Flesh-footed Shearwater";"Puffin à pieds pâles";"Shearwaters";"Puffins"
"FOTE";"Forster's Tern";"Sterne de Forster";"Terns";"Sternes"
"FRGU";"Franklin's Gull";"Mouette de Franklin";"Gulls";"Goélands et Mouettes"
"FTSP";"Fork-tailed Storm-Petrel";"Océanite à queue fourchue";"Storm-Petrels";"Océanites"
"GBBG";"Great Black-backed Gull";"Goéland marin";"Gulls";"Goélands et Mouettes"
"GBTE";"Gull-billed Tern";"Sterne hansel";"Terns";"Sternes"
"GLGU";"Glaucous Gull";"Goéland bourgmestre";"Gulls";"Goélands et Mouettes"
"GRSH";"Great Shearwater";"Puffin majeur";"Shearwaters";"Puffins"
"GRSK";"Great Skua";"Grand Labbe";"Skuas";"Grands Labbes"
"GWGU";"Glaucous-winged Gull";"Goéland à ailes grises";"Gulls";"Goélands et Mouettes"
"HAPE";"Hawaiian Petrel";"Pétrel des Hawaï";"Shearwaters";"Puffins"
"HEEG";"Heermann's Gull";"Goéland de Heermann";"Gulls";"Goélands et Mouettes"
"HERG";"Herring Gull";"Goéland argenté";"Gulls";"Goélands et Mouettes"
"HOPU";"Horned Puffin";"Macareux cornu";"Alcids";"Alcidés"
"ICGU";"Iceland Gull";"Goéland arctique";"Gulls";"Goélands et Mouettes"
"IVGU";"Ivory Gull";"Mouette blanche";"Gulls";"Goélands et Mouettes"
"KIMU";"Kittlitz's Murrelet";"Guillemot de Kittlitz";"Alcids";"Alcidés"
"LAGU";"Laughing Gull";"Mouette atricille";"Gulls";"Goélands et Mouettes"
"LBBG";"Lesser Black-backed Gull";"Goéland brun";"Gulls";"Goélands et Mouettes"
"LBMU";"Long-billed Murrelet";"Guillemot à long bec";"Alcids";"Alcidés"
"LESP";"Leach's Storm-Petrel";"Océanite cul-blanc";"Storm-Petrels";"Océanites"
"LETE";"Least Tern";"Petite Sterne";"Terns";"Sternes"
